profil,dtmth,ajust_climat_F,ajust_climat_T
P011,2016-04-01,0,0
P011,2016-05-01,0,0
P011,2016-06-01,0,0
P011,2016-07-01,0,0
P011,2016-08-01,0,0
P011,2016-09-01,0,0
P011,2016-10-01,-0.04704272,-0.04640318
P011,2016-11-01,-0.04704272,-0.04640318
P011,2016-12-01,-0.09167966,-0.05446341
P011,2017-01-01,-0.09167966,-0.05446341
P011,2017-02-01,-0.09167966,-0.05446341
P011,2017-03-01,-0.09167966,-0.05446341
P011,2017-04-01,0,0
P011,2017-05-01,0,0
P011,2017-06-01,0,0
P011,2017-07-01,0,0
P011,2017-08-01,0,0
P011,2017-09-01,0,0
P011,2017-10-01,-0.04704272,-0.04640318
P011,2017-11-01,-0.04704272,-0.04640318
P011,2017-12-01,-0.09167966,-0.05446341
P011,2018-01-01,-0.09167966,-0.05446341
P011,2018-02-01,-0.09167966,-0.05446341
P011,2018-03-01,-0.09167966,-0.05446341
P011,2018-04-01,0,0
P011,2018-05-01,0,0
P011,2018-06-01,0,0
P011,2018-07-01,0,0
P011,2018-08-01,0,0
P011,2018-09-01,0,0
P011,2018-10-01,-0.04704272,-0.04640318
P011,2018-11-01,-0.04704272,-0.04640318
P011,2018-12-01,-0.09167966,-0.05446341
P011,2019-01-01,-0.09167966,-0.05446341
P011,2019-02-01,-0.09167966,-0.05446341
P011,2019-03-01,-0.09167966,-0.05446341
P011,2019-04-01,0,0
P011,2019-05-01,0,0
P011,2019-06-01,0,0
P011,2019-07-01,0,0
P011,2019-08-01,0,0
P011,2019-09-01,0,0
P011,2019-10-01,-0.04704272,-0.04640318
P011,2019-11-01,-0.04704272,-0.04640318
P011,2019-12-01,-0.09167966,-0.05446341
P011,2020-01-01,-0.09167966,-0.05446341
P011,2020-02-01,-0.09167966,-0.05446341
P011,2020-03-01,-0.09167966,-0.05446341
P011,2020-04-01,0,0
P011,2020-05-01,0,0
P011,2020-06-01,0,0
P011,2020-07-01,0,0
P011,2020-08-01,0,0
P011,2020-09-01,0,0
P011,2020-10-01,-0.04704272,-0.04640318
P011,2020-11-01,-0.04704272,-0.04640318
P011,2020-12-01,-0.09167966,-0.05446341
P011,2021-01-01,-0.09167966,-0.05446341
P011,2021-02-01,-0.09167966,-0.05446341
P011,2021-03-01,-0.09167966,-0.05446341
P011,2021-04-01,0,0
P011,2021-05-01,0,0
P011,2021-06-01,0,0
P011,2021-07-01,0,0
P011,2021-08-01,0,0
P011,2021-09-01,0,0
P011,2021-10-01,-0.04704272,-0.04640318
P011,2021-11-01,-0.04704272,-0.04640318
P011,2021-12-01,-0.09167966,-0.05446341
P011,2022-01-01,-0.09167966,-0.05446341
P011,2022-02-01,-0.09167966,-0.05446341
P011,2022-03-01,-0.09167966,-0.05446341
P011,2022-04-01,0,0
P011,2022-05-01,0,0
P011,2022-06-01,0,0
P011,2022-07-01,0,0
P011,2022-08-01,0,0
P011,2022-09-01,0,0
P011,2022-10-01,-0.04704272,-0.04640318
P011,2022-11-01,-0.04704272,-0.04640318
P011,2022-12-01,-0.09167966,-0.05446341
P011,2023-01-01,-0.09167966,-0.05446341
P011,2023-02-01,-0.09167966,-0.05446341
P011,2023-03-01,-0.09167966,-0.05446341
P011,2023-04-01,0,0
P011,2023-05-01,0,0
P011,2023-06-01,0,0
P011,2023-07-01,0,0
P011,2023-08-01,0,0
P011,2023-09-01,0,0
P011,2023-10-01,-0.04704272,-0.04640318
P011,2023-11-01,-0.04704272,-0.04640318
P011,2023-12-01,-0.09167966,-0.05446341
P011,2024-01-01,-0.09167966,-0.05446341
P011,2024-02-01,-0.09167966,-0.05446341
P011,2024-03-01,-0.09167966,-0.05446341
P011,2024-04-01,0,0
P011,2024-05-01,0,0
P011,2024-06-01,0,0
P011,2024-07-01,0,0
P011,2024-08-01,0,0
P011,2024-09-01,0,0
P011,2024-10-01,-0.04704272,-0.04640318
P011,2024-11-01,-0.04704272,-0.04640318
P011,2024-12-01,-0.09167966,-0.05446341
P011,2025-01-01,-0.09167966,-0.05446341
P011,2025-02-01,-0.09167966,-0.05446341
P011,2025-03-01,-0.09167966,-0.05446341
P011,2025-04-01,0,0
P011,2025-05-01,0,0
P011,2025-06-01,0,0
P011,2025-07-01,0,0
P011,2025-08-01,0,0
P011,2025-09-01,0,0
P011,2025-10-01,-0.04704272,-0.04640318
P011,2025-11-01,-0.04704272,-0.04640318
P011,2025-12-01,-0.09167966,-0.05446341
P011,2026-01-01,-0.09167966,-0.05446341
P011,2026-02-01,-0.09167966,-0.05446341
P011,2026-03-01,-0.09167966,-0.05446341
P011,2026-04-01,0,0
P011,2026-05-01,0,0
P011,2026-06-01,0,0
P011,2026-07-01,0,0
P011,2026-08-01,0,0
P011,2026-09-01,0,0
P011,2026-10-01,-0.04704272,-0.04640318
P011,2026-11-01,-0.04704272,-0.04640318
P011,2026-12-01,-0.09167966,-0.05446341
P011,2027-01-01,-0.09167966,-0.05446341
P011,2027-02-01,-0.09167966,-0.05446341
P011,2027-03-01,-0.09167966,-0.05446341
P011,2027-04-01,0,0
P011,2027-05-01,0,0
P011,2027-06-01,0,0
P011,2027-07-01,0,0
P011,2027-08-01,0,0
P011,2027-09-01,0,0
P011,2027-10-01,-0.04704272,-0.04640318
P011,2027-11-01,-0.04704272,-0.04640318
P011,2027-12-01,-0.09167966,-0.05446341
P011,2028-01-01,-0.09167966,-0.05446341
P011,2028-02-01,-0.09167966,-0.05446341
P011,2028-03-01,-0.09167966,-0.05446341
P011,2028-04-01,0,0
P011,2028-05-01,0,0
P011,2028-06-01,0,0
P011,2028-07-01,0,0
P011,2028-08-01,0,0
P011,2028-09-01,0,0
P011,2028-10-01,-0.04704272,-0.04640318
P011,2028-11-01,-0.04704272,-0.04640318
P011,2028-12-01,-0.09167966,-0.05446341
P011,2029-01-01,-0.09167966,-0.05446341
P011,2029-02-01,-0.09167966,-0.05446341
P011,2029-03-01,-0.09167966,-0.05446341
P012,2016-04-01,-0.1063332,-0.12649587
P012,2016-05-01,-0.10652397,-0.12123989
P012,2016-06-01,-0.08723296,-0.06138809
P012,2016-07-01,0,0
P012,2016-08-01,0,0
P012,2016-09-01,-0.06157185,-0.0599519
P012,2016-10-01,-0.10832407,-0.12809336
P012,2016-11-01,-0.11673174,-0.12582132
P012,2016-12-01,-0.14128214,-0.14497178
P012,2017-01-01,-0.14128214,-0.14497178
P012,2017-02-01,-0.14128214,-0.14497178
P012,2017-03-01,-0.14128214,-0.14497178
P012,2017-04-01,-0.1063332,-0.12649587
