profil,date,conso_ref
P011,2016-04-01,1.14627014
P011,2016-04-02,1.04707818
P011,2016-04-03,1.03688109
P011,2016-04-04,1.11581662
P011,2016-04-05,1.10539832
P011,2016-04-06,1.09498001
P011,2016-04-07,1.0845617
P011,2016-04-08,1.07334198
P011,2016-04-09,0.96975023
P011,2016-04-10,0.95870338
P011,2016-04-11,1.04128564
P011,2016-04-12,1.03086733
P011,2016-04-13,1.01964762
P011,2016-04-14,1.0084279
P011,2016-04-15,0.99800959
P011,2016-04-16,0.889873
P011,2016-04-17,0.87712664
P011,2016-04-18,0.96515185
P011,2016-04-19,0.95313072
P011,2016-04-20,0.94271241
P011,2016-04-21,0.93149269
P011,2016-04-22,0.92107438
P011,2016-04-23,0.80744651
P011,2016-04-24,0.79639966
P011,2016-04-25,0.88901805
P011,2016-04-26,0.87779833
P011,2016-04-27,0.86738002
P011,2016-04-28,0.85696171
P011,2016-04-29,0.8465434
P011,2016-04-30,0.7292688
P011,2016-05-01,0.71737219
P011,2016-05-02,0.81528847
P011,2016-05-03,0.80567157
P011,2016-05-04,0.79525326
P011,2016-05-05,0.6748843
P011,2016-05-06,0.77521805
P011,2016-05-07,0.65449012
P011,2016-05-08,0.64429303
P011,2016-05-09,0.74716876
P011,2016-05-10,0.73755186
P011,2016-05-11,0.72793496
P011,2016-05-12,0.71911947
P011,2016-05-13,0.70950257
P011,2016-05-14,0.58565975
P011,2016-05-15,0.57631241
P011,2016-05-16,0.56611532
P011,2016-05-17,0.67343919
P011,2016-05-18,0.6646237
P011,2016-05-19,0.65660961
P011,2016-05-20,0.64881311
P011,2016-05-21,0.5306562
P011,2016-05-22,0.5306562
P011,2016-05-23,0.64881311
P011,2016-05-24,0.64881311
P011,2016-05-25,0.64881311
P011,2016-05-26,0.64881311
P011,2016-05-27,0.64881311
P011,2016-05-28,0.5306562
P011,2016-05-29,0.5306562
P011,2016-05-30,0.64881311
P011,2016-05-31,0.64881311
P011,2016-06-01,0.64881311
P011,2016-06-02,0.64881311
P011,2016-06-03,0.64881311
P011,2016-06-04,0.5306562
P011,2016-06-05,0.5306562
P011,2016-06-06,0.64881311
P011,2016-06-07,0.64881311
P011,2016-06-08,0.64881311
P011,2016-06-09,0.64881311
P011,2016-06-10,0.64881311
P011,2016-06-11,0.5306562
P011,2016-06-12,0.5306562
P011,2016-06-13,0.64881311
P011,2016-06-14,0.64881311
P011,2016-06-15,0.64881311
P011,2016-06-16,0.64881311
P011,2016-06-17,0.64881311
P011,2016-06-18,0.5306562
P011,2016-06-19,0.5306562
P011,2016-06-20,0.64881311
P011,2016-06-21,0.64881311
P011,2016-06-22,0.64881311
P011,2016-06-23,0.64881311
P011,2016-06-24,0.64881311
P011,2016-06-25,0.5306562
P011,2016-06-26,0.5306562
P011,2016-06-27,0.64881311
P011,2016-06-28,0.64881311
P011,2016-06-29,0.64881311
P011,2016-06-30,0.64881311
P011,2016-07-01,0.64881311
P011,2016-07-02,0.5306562
P011,2016-07-03,0.5306562
P011,2016-07-04,0.64881311
P011,2016-07-05,0.64881311
P011,2016-07-06,0.64881311
P011,2016-07-07,0.64881311
P011,2016-07-08,0.64881311
P011,2016-07-09,0.5306562
P011,2016-07-10,0.5306562
P011,2016-07-11,0.64881311
