station,month,day,temp
47091001,1,1,5.2
47091001,1,2,5.2
47091001,1,3,5.2
47091001,1,4,5.2
47091001,1,5,5.1
47091001,1,6,5.1
47091001,1,7,5.1
47091001,1,8,5.1
47091001,1,9,5.1
47091001,1,10,5.1
47091001,1,11,5.1
47091001,1,12,5.1
47091001,1,13,5.1
47091001,1,14,5
47091001,1,15,5.1
47091001,1,16,5.1
47091001,1,17,5.1
47091001,1,18,5.1
47091001,1,19,5.1
47091001,1,20,5.1
47091001,1,21,5.1
47091001,1,22,5.1
47091001,1,23,5.1
47091001,1,24,5.1
47091001,1,25,5.2
47091001,1,26,5.2
47091001,1,27,5.2
47091001,1,28,5.2
47091001,1,29,5.3
47091001,1,30,5.3
47091001,1,31,5.3
47091001,2,1,5.4
47091001,2,2,5.5
47091001,2,3,5.5
47091001,2,4,5.5
47091001,2,5,5.6
47091001,2,6,5.6
47091001,2,7,5.7
47091001,2,8,5.7
47091001,2,9,5.8
47091001,2,10,5.8
47091001,2,11,5.9
47091001,2,12,6
47091001,2,13,6.1
47091001,2,14,6.1
47091001,2,15,6.2
47091001,2,16,6.3
47091001,2,17,6.3
47091001,2,18,6.4
47091001,2,19,6.5
47091001,2,20,6.6
47091001,2,21,6.7
47091001,2,22,6.8
47091001,2,23,6.9
47091001,2,24,7
47091001,2,25,7.1
47091001,2,26,7.2
47091001,2,27,7.3
47091001,2,28,7.4
47091001,2,29,7.45
47091001,3,1,7.5
47091001,3,2,7.6
47091001,3,3,7.7
47091001,3,4,7.9
47091001,3,5,8
47091001,3,6,8.1
47091001,3,7,8.2
47091001,3,8,8.4
47091001,3,9,8.5
47091001,3,10,8.6
47091001,3,11,8.7
47091001,3,12,8.9
47091001,3,13,9
47091001,3,14,9.1
47091001,3,15,9.3
47091001,3,16,9.4
47091001,3,17,9.5
47091001,3,18,9.6
47091001,3,19,9.8
47091001,3,20,9.9
47091001,3,21,10
47091001,3,22,10.1
47091001,3,23,10.3
47091001,3,24,10.4
47091001,3,25,10.6
47091001,3,26,10.7
47091001,3,27,10.8
47091001,3,28,10.9
47091001,3,29,11
47091001,3,30,11.2
47091001,3,31,11.3
47091001,4,1,11.4
47091001,4,2,11.5
47091001,4,3,11.7
47091001,4,4,11.8
47091001,4,5,11.9
47091001,4,6,12
47091001,4,7,12.2
47091001,4,8,12.3
47091001,4,9,12.4
47091001,4,10,12.5
47091001,4,11,12.6
47091001,4,12,12.7
47091001,4,13,12.8
47091001,4,14,12.9
47091001,4,15,13
47091001,4,16,13.1
47091001,4,17,13.2
47091001,4,18,13.3
47091001,4,19,13.4
47091001,4,20,13.5
47091001,4,21,13.7
47091001,4,22,13.8
47091001,4,23,13.9
47091001,4,24,14
47091001,4,25,14
47091001,4,26,14.1
47091001,4,27,14.2
47091001,4,28,14.4
47091001,4,29,14.5
47091001,4,30,14.6
47091001,5,1,14.6
47091001,5,2,14.7
47091001,5,3,14.8
47091001,5,4,14.9
47091001,5,5,15
47091001,5,6,15.1
47091001,5,7,15.2
47091001,5,8,15.4
47091001,5,9,15.5
47091001,5,10,15.6
47091001,5,11,15.7
47091001,5,12,15.8
47091001,5,13,15.9
47091001,5,14,16
47091001,5,15,16.1
47091001,5,16,16.2
47091001,5,17,16.3
47091001,5,18,16.4
47091001,5,19,16.5
47091001,5,20,16.6
47091001,5,21,16.8
47091001,5,22,16.9
47091001,5,23,17
47091001,5,24,17.1
47091001,5,25,17.2
47091001,5,26,17.4
47091001,5,27,17.5
47091001,5,28,17.6
47091001,5,29,17.8
47091001,5,30,17.9
47091001,5,31,18
47091001,6,1,18.1
47091001,6,2,18.3
47091001,6,3,18.4
47091001,6,4,18.6
47091001,6,5,18.7
47091001,6,6,18.8
47091001,6,7,18.9
47091001,6,8,19
47091001,6,9,19.2
47091001,6,10,19.3
47091001,6,11,19.4
47091001,6,12,19.6
47091001,6,13,19.7
47091001,6,14,19.8
47091001,6,15,19.9
47091001,6,16,20.1
47091001,6,17,20.2
47091001,6,18,20.3
47091001,6,19,20.4
47091001,6,20,20.6
47091001,6,21,20.7
47091001,6,22,20.8
47091001,6,23,20.9
47091001,6,24,21
47091001,6,25,21.1
47091001,6,26,21.2
47091001,6,27,21.3
47091001,6,28,21.4
47091001,6,29,21.5
47091001,6,30,21.6
47091001,7,1,21.6
47091001,7,2,21.7
47091001,7,3,21.8
47091001,7,4,21.9
47091001,7,5,21.9
47091001,7,6,22
47091001,7,7,22.1
47091001,7,8,22.1
47091001,7,9,22.2
47091001,7,10,22.2
47091001,7,11,22.3
47091001,7,12,22.3
47091001,7,13,22.3
47091001,7,14,22.3
47091001,7,15,22.4
47091001,7,16,22.4
47091001,7,17,22.4
47091001,7,18,22.4
47091001,7,19,22.4
47091001,7,20,22.4
47091001,7,21,22.4
47091001,7,22,22.4
47091001,7,23,22.4
47091001,7,24,22.4
47091001,7,25,22.4
47091001,7,26,22.3
47091001,7,27,22.3
47091001,7,28,22.3
47091001,7,29,22.2
47091001,7,30,22.2
47091001,7,31,22.2
47091001,8,1,22.1
47091001,8,2,22
47091001,8,3,22
47091001,8,4,21.9
47091001,8,5,21.9
47091001,8,6,21.8
47091001,8,7,21.8
47091001,8,8,21.7
47091001,8,9,21.6
47091001,8,10,21.6
47091001,8,11,21.5
47091001,8,12,21.4
47091001,8,13,21.3
47091001,8,14,21.3
47091001,8,15,21.2
47091001,8,16,21.1
47091001,8,17,21
47091001,8,18,20.9
47091001,8,19,20.8
47091001,8,20,20.8
47091001,8,21,20.7
47091001,8,22,20.6
47091001,8,23,20.5
47091001,8,24,20.4
47091001,8,25,20.3
47091001,8,26,20.2
47091001,8,27,20.2
47091001,8,28,20.1
47091001,8,29,19.9
47091001,8,30,19.9
47091001,8,31,19.8
47091001,9,1,19.7
47091001,9,2,19.6
47091001,9,3,19.5
47091001,9,4,19.4
47091001,9,5,19.3
47091001,9,6,19.2
47091001,9,7,19.1
47091001,9,8,19
47091001,9,9,18.9
47091001,9,10,18.8
47091001,9,11,18.7
47091001,9,12,18.6
47091001,9,13,18.5
47091001,9,14,18.4
47091001,9,15,18.3
47091001,9,16,18.2
47091001,9,17,18.1
47091001,9,18,18
47091001,9,19,17.8
47091001,9,20,17.7
47091001,9,21,17.6
47091001,9,22,17.5
47091001,9,23,17.4
47091001,9,24,17.3
47091001,9,25,17.2
47091001,9,26,17
47091001,9,27,16.9
47091001,9,28,16.8
47091001,9,29,16.7
47091001,9,30,16.5
47091001,10,1,16.4
47091001,10,2,16.3
47091001,10,3,16.2
47091001,10,4,16
47091001,10,5,15.9
47091001,10,6,15.7
47091001,10,7,15.6
47091001,10,8,15.5
47091001,10,9,15.3
47091001,10,10,15.2
47091001,10,11,15
47091001,10,12,14.9
47091001,10,13,14.7
47091001,10,14,14.6
47091001,10,15,14.4
47091001,10,16,14.3
47091001,10,17,14.1
47091001,10,18,14
47091001,10,19,13.8
47091001,10,20,13.6
47091001,10,21,13.5
47091001,10,22,13.3
47091001,10,23,13.1
47091001,10,24,13
47091001,10,25,12.8
47091001,10,26,12.6
47091001,10,27,12.5
47091001,10,28,12.3
47091001,10,29,12.1
47091001,10,30,12
47091001,10,31,11.8
47091001,11,1,11.6
47091001,11,2,11.4
47091001,11,3,11.3
47091001,11,4,11.1
47091001,11,5,11
47091001,11,6,10.8
47091001,11,7,10.6
47091001,11,8,10.5
47091001,11,9,10.3
47091001,11,10,10.1
47091001,11,11,10
47091001,11,12,9.8
47091001,11,13,9.7
47091001,11,14,9.5
47091001,11,15,9.3
47091001,11,16,9.2
47091001,11,17,9
47091001,11,18,8.9
47091001,11,19,8.8
47091001,11,20,8.6
47091001,11,21,8.5
47091001,11,22,8.3
47091001,11,23,8.2
47091001,11,24,8.1
47091001,11,25,7.9
47091001,11,26,7.8
47091001,11,27,7.7
47091001,11,28,7.6
47091001,11,29,7.5
47091001,11,30,7.3
47091001,12,1,7.2
47091001,12,2,7.1
47091001,12,3,7
47091001,12,4,6.9
47091001,12,5,6.8
47091001,12,6,6.7
47091001,12,7,6.6
47091001,12,8,6.5
47091001,12,9,6.5
47091001,12,10,6.4
47091001,12,11,6.3
47091001,12,12,6.2
47091001,12,13,6.2
47091001,12,14,6.1
47091001,12,15,6
47091001,12,16,6
47091001,12,17,5.9
47091001,12,18,5.8
47091001,12,19,5.8
47091001,12,20,5.7
47091001,12,21,5.7
47091001,12,22,5.6
47091001,12,23,5.6
47091001,12,24,5.5
47091001,12,25,5.5
47091001,12,26,5.4
47091001,12,27,5.4
47091001,12,28,5.4
47091001,12,29,5.3
47091001,12,30,5.3
47091001,12,31,5.3
89295001,1,1,3.9
89295001,1,2,3.9
89295001,1,3,3.9
89295001,1,4,3.8
89295001,1,5,3.8
89295001,1,6,3.8
89295001,1,7,3.8
89295001,1,8,3.8
89295001,1,9,3.8
89295001,1,10,3.7
89295001,1,11,3.7
89295001,1,12,3.7
89295001,1,13,3.7
89295001,1,14,3.7
89295001,1,15,3.7
89295001,1,16,3.7
89295001,1,17,3.7
89295001,1,18,3.7
89295001,1,19,3.7
89295001,1,20,3.7
89295001,1,21,3.7
89295001,1,22,3.7
89295001,1,23,3.7
89295001,1,24,3.8
89295001,1,25,3.8
89295001,1,26,3.8
89295001,1,27,3.8
89295001,1,28,3.8
89295001,1,29,3.8
89295001,1,30,3.8
89295001,1,31,3.9
89295001,2,1,3.9
89295001,2,2,3.9
89295001,2,3,4
89295001,2,4,4
89295001,2,5,4
89295001,2,6,4.1
89295001,2,7,4.1
89295001,2,8,4.1
89295001,2,9,4.2
89295001,2,10,4.2
89295001,2,11,4.3
89295001,2,12,4.3
89295001,2,13,4.4
89295001,2,14,4.4
89295001,2,15,4.5
89295001,2,16,4.6
89295001,2,17,4.6
89295001,2,18,4.7
89295001,2,19,4.8
89295001,2,20,4.9
89295001,2,21,4.9
89295001,2,22,5
89295001,2,23,5.1
89295001,2,24,5.2
89295001,2,25,5.3
89295001,2,26,5.4
89295001,2,27,5.5
89295001,2,28,5.6
89295001,2,29,5.65
89295001,3,1,5.7
89295001,3,2,5.8
89295001,3,3,5.9
89295001,3,4,6
89295001,3,5,6.1
89295001,3,6,6.2
89295001,3,7,6.3
89295001,3,8,6.5
89295001,3,9,6.6
89295001,3,10,6.7
89295001,3,11,6.8
89295001,3,12,7
89295001,3,13,7.1
89295001,3,14,7.2
89295001,3,15,7.4
89295001,3,16,7.5
89295001,3,17,7.6
89295001,3,18,7.8
89295001,3,19,7.9
89295001,3,20,8.1
89295001,3,21,8.2
89295001,3,22,8.3
89295001,3,23,8.5
89295001,3,24,8.6
89295001,3,25,8.8
89295001,3,26,8.9
89295001,3,27,9
89295001,3,28,9.2
89295001,3,29,9.3
89295001,3,30,9.5
89295001,3,31,9.6
89295001,4,1,9.7
89295001,4,2,9.9
89295001,4,3,10
89295001,4,4,10.2
89295001,4,5,10.3
89295001,4,6,10.4
89295001,4,7,10.6
89295001,4,8,10.7
89295001,4,9,10.8
89295001,4,10,11
89295001,4,11,11.1
89295001,4,12,11.2
89295001,4,13,11.3
89295001,4,14,11.4
89295001,4,15,11.6
89295001,4,16,11.7
89295001,4,17,11.8
89295001,4,18,11.9
89295001,4,19,12
89295001,4,20,12.1
89295001,4,21,12.3
89295001,4,22,12.4
89295001,4,23,12.5
89295001,4,24,12.6
89295001,4,25,12.7
89295001,4,26,12.8
89295001,4,27,12.9
89295001,4,28,13
89295001,4,29,13.1
89295001,4,30,13.2
89295001,5,1,13.3
89295001,5,2,13.4
89295001,5,3,13.5
89295001,5,4,13.6
89295001,5,5,13.7
89295001,5,6,13.8
89295001,5,7,13.9
89295001,5,8,14
89295001,5,9,14.1
89295001,5,10,14.2
89295001,5,11,14.3
89295001,5,12,14.4
89295001,5,13,14.5
89295001,5,14,14.6
89295001,5,15,14.7
89295001,5,16,14.8
89295001,5,17,14.9
89295001,5,18,15
89295001,5,19,15.1
89295001,5,20,15.2
89295001,5,21,15.3
89295001,5,22,15.4
89295001,5,23,15.5
89295001,5,24,15.6
89295001,5,25,15.7
89295001,5,26,15.8
89295001,5,27,15.9
89295001,5,28,16
89295001,5,29,16.2
89295001,5,30,16.3
